bidder_id,prediction
bb790a228de797253bf6afa43ee52eba1s2dx,0.0510170115647156
76ed824b414b5e690ff82e7cd2f5be52256my,0.124466653883125
f29896e71c8077db28617a03c0f14e7570emg,0.0141364393830749
367edc726ba8e667973844395493559dtf2o3,0.0265496089617956
01f498a0992d280de63ec346692efb2blckg2,0.0177837877854149
b7630ee9a73e7ba6f11f7717b7f03ed4be2hb,0.149555356921393
49eaad86d095aa5af75ce34e59e4b7f1mmf9q,0.0144608648302844
481fdbc92e77bba4c9611841a7d74071elwx6,0.014161771797172
22401c4dc0cb1e5d52da01ebb8b2839cdoauo,0.0140753841112916
3c77ec9f79f6febf630325ef84f2a0bcl3qg1,0.0140753841112916
b970a53727b2bfaf02079779c846a52fj3f0q,0.014584415678412
65f52b46edfc7fa64b9e74557a78e52c1it54,0.0150172073219472
45fe4f0fb849e7195a1efd5495d1285f2culj,0.0141082680619947
f725c5b4cece8353da7a636fcba0ecb5yxshd,0.0145159657751481
98c12418158dfb9494af01308ac2d0588gfw2,0.0150247015762331
29e08b4d18198fe9265772fba3a4f6c4mj1rw,0.0440758438921937
4ed4760782d4e2c65bee8cadc1fcdc89htz8b,0.0140715726297374
a262e805f766306f4adb38211abf235akxqh8,0.0142371863270651
8fe6da2176541d0ce24574dbb60f9107oq1kn,0.0140657320213803
438e53670ffa2990cdef656700bb49bf684fz,0.0140689525272447
9375e98d0810ce9119ccf45300249636zfpd9,0.0141574397133905
2d38a6af2ce96c1446f900aa4756b8975y9k3,0.0283377296168943
c7d335bf99b9c71fb22797ecbd78b92ashv4h,0.0254127424513305
6086425310e05e77a53317490e8c1f3cxzf2r,0.0587398118257112
48044b1b1f47f168864bc7c4a58a65ecmt187,0.0140727633092378
8bbb16c0a1bb808389051c875ebab1cea0v56,0.0140715726297374
c806dbb2decba0ed3c4ff5e2e60a74c2wjvbl,0.0152725305209922
cad151bdf2e29b764dfd3acac022e5dcy8n83,0.0141735813819945
246c55639cf85c682d58cbd2ed6a6563vk2yn,0.0237487768673591
205c519be884c5b1c885f61c4ba8738a737qg,0.0226754602987265
01cda526658455000913950f20cf31a2q6nsf,0.0140673099981637
0ef9be4eb3b6a03ac2945522964b242ap09cy,0.0140952637926682
1cf0d30e0bf9f4a536b1fe16ecc26cd22j50c,0.0177837877854149
1291b98e40353f77928e363d54a13c569bhfb,0.0148316450719769
9f52fd88ba073512be19e3d24d4bb6f91l531,0.0147338735360526
cf1f2b6f29840e1ecbb31d18fb128c38bseas,0.444059068949537
20f206d2656116bed8dd46d5b70dac81lbgfk,0.0141574397133905
a58ace8b671a7531c88814bc86b2a34cf0crb,0.0516289762886354
424b638423f4862b2a84f22ec25fa22eb2c8p,0.0177837877854149
7da6a36817cf2d8c3be218a32ab25550c8kg7,0.0142424213025234
a0420d3961adf890fccf4b43899708f6h40zs,0.0177837877854149
afb7618f9e3fd071d4ebedf396e1d45drta96,0.0140689525272447
429f301119adc32d35541dd4d60903563s7nr,0.0140715726297374
64a39f766b2e9d9471b104f0d0289740a9kdq,0.0150001195036991
2012c722a90bc47f1abbc8319d0cea51p7l5b,0.0146462994327434
4038ae3276c0b47f420a5d73687fb73bghgxf,0.014453840097412
292dedb5371b8e0ebbeea57f14b35713e2ie2,0.0142692358013369
10f1460119f9e42bcccd0f68ef59cc830pwtq,0.0140689525272447
6aeab198df208f8628825f7eb3ec3701p2ybk,0.0154752054569687
86a626c876e7eb4be35f4f0b0a78f97a1rn7h,0.0140727633092378
055282b75717345ba6f53d40e9e6d6c56qrzp,0.0397281122226674
f211ff014ed43c9054916f97d6187108mpxr6,0.156756421069525
1c61726e316d5a16aaa80b429080c534u43s0,0.0142464106122822
36473d4c641c4c09c20c80e2ab35a36dwzp5d,0.0141574397133905
7f603f668968facebb0567015ad4c201kikrh,0.0141574397133905
